year,subunit,sbt,Source_Season
1989,1,6.77721282326085,GLORYS-Spring
1989,2,9.903812362708349,GLORYS-Spring
1990,1,7.363153640822946,GLORYS-Spring
1990,2,11.05256694609305,GLORYS-Spring
1991,1,7.651598804577735,GLORYS-Spring
1991,2,10.774043354022893,GLORYS-Spring
1992,1,6.496614237557116,GLORYS-Spring
1992,2,10.033370046096984,GLORYS-Spring
1993,1,6.10058459946366,GLORYS-Spring
1993,2,8.989369047144073,GLORYS-Spring
1994,1,7.0325908862567355,GLORYS-Spring
1994,2,10.58739451827899,GLORYS-Spring
1995,1,7.162048955510891,GLORYS-Spring
1995,2,10.300854440920988,GLORYS-Spring
1996,1,6.608973904906728,GLORYS-Spring
1996,2,8.936100428547357,GLORYS-Spring
1997,1,7.0243479114282525,GLORYS-Spring
1997,2,11.372075221577632,GLORYS-Spring
1998,1,6.546258060893089,GLORYS-Spring
1998,2,9.510021298309496,GLORYS-Spring
1999,1,7.185745061655484,GLORYS-Spring
1999,2,10.903241128869395,GLORYS-Spring
2000,1,7.7276656712078475,GLORYS-Spring
2000,2,11.598145688817803,GLORYS-Spring
2001,1,6.9325430773125305,GLORYS-Spring
2001,2,9.36706350084211,GLORYS-Spring
2002,1,7.736283433007398,GLORYS-Spring
2002,2,12.366814580771441,GLORYS-Spring
2003,1,6.286917096200517,GLORYS-Spring
2003,2,9.027119802646949,GLORYS-Spring
2004,1,5.693592560095842,GLORYS-Spring
2004,2,8.34127454874945,GLORYS-Spring
2005,1,6.053285826542313,GLORYS-Spring
2005,2,8.940364119785075,GLORYS-Spring
2006,1,7.357181089901506,GLORYS-Spring
2006,2,11.426979778242895,GLORYS-Spring
2007,1,6.220726220959528,GLORYS-Spring
2007,2,9.60049156543336,GLORYS-Spring
2008,1,6.739769760194392,GLORYS-Spring
2008,2,11.897232282357137,GLORYS-Spring
2009,1,6.7939551110345535,GLORYS-Spring
2009,2,10.89720681977402,GLORYS-Spring
2010,1,7.582700770331182,GLORYS-Spring
