year,subunit,age,f
1989,1,1,0.0916702542405
1989,1,2,0.5223295758798
1989,1,3,1.0711334717226
1989,1,4,1.2337276616028
1989,1,5,1.2604399920684
1989,1,6,1.2643476526746
1989,1,7,1.2649193079822
1989,1,8,1.265004
1990,1,1,0.081426769802375
1990,1,2,0.46396304328504995
1990,1,3,0.95144209375435
1990,1,4,1.0958675650293
1990,1,5,1.1195949867728998
1990,1,6,1.12306599471635
1990,1,7,1.1235737716994498
1990,1,8,1.123649
1991,1,1,0.0703736040631
1991,1,2,0.40098301316996
1991,1,3,0.82228988522252
1991,1,4,0.9471105180045599
1991,1,5,0.96761709326568
1991,1,6,0.97061693397292
1991,1,7,0.97105578346244
1991,1,8,0.9711208
1992,1,1,0.0672895438426625
1992,1,2,0.38341029145913497
1992,1,3,0.786253766873245
1992,1,4,0.9056042471261099
1992,1,5,0.9252121400778299
1992,1,6,0.928080515450645
1992,1,7,0.928500132754015
1992,1,8,0.9285623
1993,1,1,0.07382330787187501
1993,1,2,0.4206391420012501
1993,1,3,0.86259841548375
1993,1,4,0.9935377374825001
1993,1,5,1.0150495420725
1993,1,6,1.0181964345337502
1993,1,7,1.01865679636125
1993,1,8,1.018725
1994,1,1,0.07218675624542499
1994,1,2,0.41131420531343
1994,1,3,0.8434759068814099
1994,1,4,0.9715125011839799
1994,1,5,0.99254742144294
1994,1,6,0.99562455203461
1994,1,7,0.9960747083332699
1994,1,8,0.9961414
1995,1,1,0.0514382634684375
1995,1,2,0.29309099842762504
1995,1,3,0.601037339590875
1995,1,4,0.69227263556325
1995,1,5,0.70726153140225
1995,1,6,0.709454208595875
1995,1,7,0.709774977383625
1995,1,8,0.7098225
1996,1,1,0.052201486576574994
1996,1,2,0.29743978098177
1996,1,3,0.60995532312099
1996,1,4,0.7025443367632199
1996,1,5,0.7177556326386599
1996,1,6,0.71998084401579
1996,1,7,0.72030637225953
1996,1,8,0.7203546
1997,1,1,0.0489971031870875
1997,1,2,0.27918146774096503
1997,1,3,0.572513272445455
1997,1,4,0.65941871811249
1997,1,5,0.67369627000797
1997,1,6,0.6757848869920551
1997,1,7,0.676090432714885
1997,1,8,0.6761357
