year,subunit,mean_dens,abundance,patch,area,area_units
1989,1,0,0,1,177773.42,km^2
1989,2,3.2432432432432434,193221.8918918919,2,59576.75,km^2
1990,1,0.0111731843575419,1986.2951955307265,1,177773.42,km^2
1990,2,2.972972972972973,177120.06756756754,2,59576.75,km^2
1991,1,0.011363636363636364,2020.1525000000001,1,177773.42,km^2
1991,2,1.3164556962025316,78430.15189873417,2,59576.75,km^2
1992,1,0,0,1,177773.42,km^2
1992,2,4.027397260273973,239939.23972602742,2,59576.75,km^2
1993,1,0,0,1,177773.42,km^2
1993,2,12.72,757816.26,2,59576.75,km^2
1994,1,0.03333333333333333,5925.7806666666675,1,177773.42,km^2
1994,2,0.9736842105263158,58008.94078947369,2,59576.75,km^2
1995,1,0.005681818181818182,1010.0762500000001,1,177773.42,km^2
1995,2,1.155844155844156,68861.43831168831,2,59576.75,km^2
1996,1,0.005681818181818182,1010.0762500000001,1,177773.42,km^2
1996,2,1.125,67023.84375,2,59576.75,km^2
1997,1,0,0,1,177773.42,km^2
1997,2,3.2054794520547945,190972.04794520547,2,59576.75,km^2
1998,1,0.004694835680751174,834.6169953051644,1,177773.42,km^2
1998,2,1.7534246575342465,104463.34246575342,2,59576.75,km^2
1999,1,0.01675977653631285,2979.4427932960893,1,177773.42,km^2
1999,2,1.8181818181818181,108321.36363636363,2,59576.75,km^2
2000,1,0.054945054945054944,9767.77032967033,1,177773.42,km^2
2000,2,3.135135135135135,186781.16216216216,2,59576.75,km^2
2001,1,0.03389830508474576,6026.2176271186445,1,177773.42,km^2
2001,2,3.8,226391.65,2,59576.75,km^2
2002,1,0.13966480446927373,24828.68994413408,1,177773.42,km^2
2002,2,3.6794871794871793,219211.8878205128,2,59576.75,km^2
2003,1,0.11731843575418995,20856.09955307263,1,177773.42,km^2
2003,2,13.507246376811594,804717.8405797101,2,59576.75,km^2
2004,1,0.054945054945054944,9767.77032967033,1,177773.42,km^2
2004,2,7.561643835616438,450498.16438356164,2,59576.75,km^2
2005,1,0,0,1,177773.42,km^2
2005,2,3.675324675324675,218963.89935064933,2,59576.75,km^2
2006,1,0.0582010582010582,10346.601164021164,1,177773.42,km^2
2006,2,1.6533333333333333,98500.22666666667,2,59576.75,km^2
2007,1,0.15343915343915343,27277.40306878307,1,177773.42,km^2
2007,2,1.2826086956521738,76413.65760869565,2,59576.75,km^2
2008,1,0.005319148936170213,945.6032978723405,1,177773.42,km^2
2008,2,0.7837837837837838,46695.29054054054,2,59576.75,km^2
2009,1,0.33617021276595743,59762.12842553192,1,177773.42,km^2
2009,2,2.2990654205607477,136970.84579439252,2,59576.75,km^2
2010,1,0.5442477876106194,96752.79053097345,1,177773.42,km^2
2010,2,10.418803418803419,620718.4465811966,2,59576.75,km^2
2011,1,0.23222748815165878,41283.874786729866,1,177773.42,km^2
2011,2,4.951923076923077,295019.4831730769,2,59576.75,km^2
2012,1,0.6637931034482759,118004.77017241382,1,177773.42,km^2
2012,2,3.173076923076923,189041.61057692306,2,59576.75,km^2
2013,1,0.6452991452991453,114717.035982906,1,177773.42,km^2
2013,2,15.321739130434782,912819.4217391304,2,59576.75,km^2
2015,1,0.4956896551724138,88120.4452586207,1,177773.42,km^2
2015,2,2.3454545454545452,139734.55909090908,2,59576.75,km^2
2016,1,2.5470852017937218,452804.0473542601,1,177773.42,km^2
2016,2,0.7087378640776699,42224.29854368932,2,59576.75,km^2
2017,1,1.4834123222748816,263711.2818009479,1,177773.42,km^2
2017,2,14.47787610619469,862544.8053097345,2,59576.75,km^2
2018,1,0.10416666666666667,18518.064583333336,1,177773.42,km^2
2018,2,16.823529411764707,1002291.205882353,2,59576.75,km^2
